Lista de comprobación y resultados de las pruebas: pruebas de diseño;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
?;Descripción de la supervisión;"Estado de la versión 1 ""Requisitos""";Estado de funcionalidad;Enlace Error Jira;Entorno;;;;;;;;;;;;;;;;;;;;;
Funcionalidad aplicacion;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Al presionar la imagen ""BugBank"" te lleva de nuevo a la página principal de la aplicación";APROBADO;;;Google chrome Versión 127.0.6533.100 (Build oficial) (64 bits);;;;;;;;;;;;;;;;;;;;;
2;Al ingresar a la URL https://bugbank.netlify.app/, te muestra la página en portugues;APROBADO;;;Google chrome Versión 127.0.6533.100 (Build oficial) (64 bits);;;;;;;;;;;;;;;;;;;;;
3;Al presionar el botón Conheça nossos requisitos, la página te lleva a los requerimientos de la aplicación;APROBADO;;;Google chrome Versión 127.0.6533.100 (Build oficial) (64 bits);;;;;;;;;;;;;;;;;;;;;
4;"Al presionar el botón ""Acesse o link do repositório clicando aqui"", te lleva al repositorio principal bugbank-ui";APROBADO;;;Google chrome Versión 127.0.6533.100 (Build oficial) (64 bits);;;;;;;;;;;;;;;;;;;;;
5;"Luego de ingresar en la página de requerimientos, presionas sobre el icono ""Bug Bank"", te debe llevar a la pagina principal de la aplicación";APROBADO;;;Google chrome Versión 127.0.6533.100 (Build oficial) (64 bits);;;;;;;;;;;;;;;;;;;;;
6;"Luego de ingresar en la página de requerimientos, presionas sobre el botón ""Voltar"", te debe llevar a la pagina principal de la aplicación";APROBADO;;;Google chrome Versión 127.0.6533.100 (Build oficial) (64 bits);;;;;;;;;;;;;;;;;;;;;
7;"Al presionar el botón ""Login"", te despliega los requerimientos sobre el acceso a la plataforma";APROBADO;;;Google chrome Versión 127.0.6533.100 (Build oficial) (64 bits);;;;;;;;;;;;;;;;;;;;;
8;"Al presionar el botón ""Cadastro"", te despliega los requerimientos sobre el registro en la plataforma";APROBADO;;;Google chrome Versión 127.0.6533.100 (Build oficial) (64 bits);;;;;;;;;;;;;;;;;;;;;
9;"Al presionar el botón ""Transferência"", te despliega los requerimientos sobre transferir en la aplicación";APROBADO;;;Google chrome Versión 127.0.6533.100 (Build oficial) (64 bits);;;;;;;;;;;;;;;;;;;;;
10;"Al presionar el botón ""Pagamento"", te despliega los requerimientos sobre el pago";APROBADO;;;Google chrome Versión 127.0.6533.100 (Build oficial) (64 bits);;;;;;;;;;;;;;;;;;;;;
11;"Al presionar el botón ""Extrato"", te despliega los requerimientos sobre el extracto";APROBADO;;;Google chrome Versión 127.0.6533.100 (Build oficial) (64 bits);;;;;;;;;;;;;;;;;;;;;
12;"Al presionar el botón ""Saque"", te despliega los requerimientos sobre el beneficio";APROBADO;;;Google chrome Versión 127.0.6533.100 (Build oficial) (64 bits);;;;;;;;;;;;;;;;;;;;;
Formulario registro;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"En el campo E-mail, deja el campo en vacio y diligencia correctamente los demas datos (nombre, contraseña, confirma contraseña), debe mostrar el mensaje ""El correo electrónico no puede estar vacío""";NO APROBADO;Es un campo obligatorio;;Google chrome Versión 127.0.6533.100 (Build oficial) (64 bits);;;;;;;;;;;;;;;;;;;;;
14;En el campo nombre, deja el campo en vacio y diligencia correctamente los demas datos (Email, contraseña, confirma contraseña), no te permite seguir con el registro;APROBADO;;;Google chrome Versión 127.0.6533.100 (Build oficial) (64 bits);;;;;;;;;;;;;;;;;;;;;
15;En el campo contraseña, deja el campo en vacio y diligencia correctamente los demas datos (Email, name, confirma contraseña), no te permite seguir con el registro;APROBADO;;;Google chrome Versión 127.0.6533.100 (Build oficial) (64 bits);;;;;;;;;;;;;;;;;;;;;
16;En el campo confirmar contraseña , deja el campo en vacio y diligencia correctamente los demas datos (Email, name, contraseña), no te permite seguir con el registro;APROBADO;;;Google chrome Versión 127.0.6533.100 (Build oficial) (64 bits);;;;;;;;;;;;;;;;;;;;;
