#,Descripción de la revisión,Resultado esperado,Resultado actual,Estado,Enlace al informe de errores,
,POST: https://restful-booker.herokuapp.com/auth,,,,,
1,"Comprobación de la función ""Crear token de autentificación""","200 OK: {""token"": ""abc123""}","200 OK: {""token"": ""f8b5c303254e004""}",Pass,N/A,
2,Verificar la creación de un token con credenciales inválidas no debe ser posible,"400: {""reason"": ""Bad credentials""}","200 OK: {""reason"": ""Bad credentials""}",Not pass,RB-9,
,POST: https://restful-booker.herokuapp.com/booking,,,,,
3,"Comprobación de la función ""Crear reserva (booking)""","200 OK: {""bookingid"": 1, ""booking"": {""firstname"": ""Jim"",""lastname"": ""Brown"",""totalprice"": 111,""depositpaid"": true,""bookingdates"": {""checkin"":""2018-01-01"",""checkout"": ""2019-01-01""},""additionalneeds"": ""Breakfast""}}","200 OK: {""bookingid"": 1, ""booking"": {""firstname"": ""Jim"",""lastname"": ""Brown"",""totalprice"": 111,""depositpaid"": true,""bookingdates"": {""checkin"":""2018-01-01"",""checkout"": ""2019-01-01""},""additionalneeds"": ""Breakfast""}}",Pass,N/A,
4,Hacer checkin con una fecha despues del checkout no debería ser posible,400: Bad request,"200 OK: {""bookingid"": 1, ""booking"": {""firstname"": ""Jim"",""lastname"": ""Brown"",""totalprice"": 111,""depositpaid"": true,""bookingdates"": {""checkin"":""2018-01-01"",""checkout"": ""2019-01-01""},""additionalneeds"": ""Breakfast""}}",Not pass,RB-7,
,"Probar la creación de una reserva con datos incompletos (nombre y apellido), debería arrojar error.",400: Bad request,"200 OK: {""bookingid"": 477,""booking"": {""firstname"": """", ""lastname"": """",""totalprice"": 111,""depositpaid"": true,""bookingdates"": {""checkin"": ""2024-01-01"",""checkout"": ""2024-01-01""},""additionalneeds"": """"}}",Not pass,RB-6,Crea igualmente la reservación 
,GET: https://restful-booker.herokuapp.com/booking // https://restful-booker.herokuapp.com/booking/:id,,,,,
5,"Se puede corroborar la reserva, filtrando por "":id""(ej: 1) de reserva","200 OK: {""firstname"": ""James"",""lastname"": ""Brown"",""totalprice"": 125,""depositpaid"": true,""bookingdates"": {""checkin"": ""2018-01-01"",""checkout"": ""2019-01-01""},""additionalneeds"": ""Breakfast""}","200 OK: {""firstname"": ""James"",""lastname"": ""Brown"",""totalprice"": 125,""depositpaid"": true,""bookingdates"": {""checkin"": ""2018-01-01"",""checkout"": ""2019-01-01""},""additionalneeds"": ""Breakfast""}",Pass,N/A,
,"Consultar una reserva inexistente por "":id"" arroja error",400: Not found,400: Not found,Pass,N/A,Arroja 400 not found
